Code,Company
A515,ACE INA Insurance
D028,Affiliated FM Insurance Company
A016,AIG Insurance Company of Canada
D655,Alea (Bermuda) Ltd.
D037,Allianz Global Risks US Insurance Company
D900,Allied World Specialty Insurance Company
A030,Allstate Insurance Company of Canada
D010,American Agricultural Insurance Company
D056,American Bankers Insurance Company of Florida
D112,American Road Insurance Company (The)
A040,Antigonish Farmers' Mutual Insurance Company
A042,Arch Insurance Canada Ltd.
D125,Arch Reinsurance Company
A041,Ascentus Insurance Ltd.
D130,Aspen Insurance UK Limited
D136,Associated Electric & Gas Insurance Services Limited
D137,Atradius Credit Insurance N.V.
A390,Aviva Insurance Company of Canada
D142,AXA Art Insurance Corporation
D141,AXIS Reinsurance Company (Canadian Branch)
D150,Berkley Insurance Company
A050,Boiler Inspection and Insurance Company of Canada (The)
D165,Caisse Centrale de RÇassurance
A018,Canada Guaranty Mortgage Insurance Company
A087,Canada Mortgage and Housing Corporation
A095,Canadian Direct Insurance Incorporated
A135,Canadian Northern Shield Insurance Company
A191,Certas Direct Insurance Company
A193,Certas Home and Auto Insurance Company
A192,Chancellor Reinsurance Company of Canada
D194,Cherokee Insurance Company
D196,Chicago Title Insurance Company
A196,Chubb Insurance Company of Canada
A200,Clare Mutual Insurance Company
D309,Compagnie Franáaise d'Assurance pour le Commerce ExtÇrieur
D224,Continental Casualty Company
A252,Co-operators General Insurance Company
D203,CorePointe Insurance Company
A254,Coseco Insurance Company
A255,CUMIS General Insurance Company
A258,DAS Legal Protection Insurance Company Limited
A270,Dominion of Canada General Insurance Company (The)
C110,Ecclesiastical Insurance Office Public Limited Company
A524,Echelon Insurance
A300,Economical Mutual Insurance Company
D242,Electric Insurance Company
A310,Elite Insurance Company
D259,Employers Insurance Company of Wausau
A320,Equitable General Insurance Company (The)
A321,Esurance Insurance Company of Canada (A321)
D063,Euler Hermes North America Insurance Company
A637,Everest Insurance Company of Canada
D626,Everest Reinsurance Company
D035,Factory Mutual Insurance Company
A323,FCT Insurance Company Ltd.
D273,Federal Insurance Company
A325,Federated Insurance Company of Canada
D290,First American Title Insurance Company
A378,First North American Insurance Company
A380,Foresters Indemnity Company
D329,General Reinsurance Corporation
A387,Genworth Financial Mortgage Insurance Company Canada
A420,Gore Mutual Insurance Company
D343,Great American Insurance Company
T035,Green Shield Canada
D344,Groupama S.A.
A460,Guarantee Company of North America (The)
D345,Hannover RÅck SE
D357,Hartford Fire Insurance Company
D369,"HDI-Gerling Industrie Versicherung AG, Canada Branch"
A630,Heartland Farm Mutual Inc.
A480,Intact Insurance Company
D416,International Insurance Company of Hannover SE (D416)
D418,Ironshore Insurance Ltd.
A522,Jevco Insurance Company
D422,Jewelers Mutual Insurance Company
A530,Kings Mutual Insurance Company (The)
A370,Legacy General Insurance Company
D441,Liberty Mutual Insurance Company
C180,Lloyd's Underwriters
D456,"Mapfre Re Compania de Reaseguros, S.A."
A695,MIC Insurance Company Canada
A580,Missisquoi Insurance Company (The)
D754,"Mitsui Sumitomo Insurance Company, Limited"
A590,Mortgage Insurance Company of Canada (The)
D490,Motors Insurance Corporation
D105,"Munich Reinsurance America, Inc."
A600,Munich Reinsurance Company of Canada
D505,National Liability & Fire Insurance Company
D511,Nationwide Mutual Insurance Company
C240,"New India Assurance Company, Limited (The)"
A470,Nordic Insurance Company of Canada (The)
A560,Northbridge Commercial Insurance Corporation
A246,Northbridge General Insurance Corporation
A249,Northbridge Personal Insurance Corporation
A115,Novex Insurance Company
D778,Odyssey Reinsurance Company
A636,Old Republic Insurance Company of Canada
A638,Omega General Insurance Company
A639,Pafco Insurance Company
D580,Partner Reinsurance Company of the U.S.
A648,Pembridge Insurance Company
A650,Personal Insurance Company (The)
A660,Perth Insurance Company
A680,Pictou County Farmers' Mutual Fire Insurance Company
A685,Pilot Insurance Company
A710,Portage la Prairie Mutual Insurance Company (The)
A085,Primmum Insurance Company
D612,Protective Insurance Company
A720,Quebec Assurance Company
A393,RBC General Insurance Company
A865,RBC Insurance Company of Canada
A735,Royal & Sun Alliance Insurance Company of Canada
A807,S&Y Insurance Company
D667,Safety National Casualty Corporation
A740,Saskatchewan Mutual Insurance Company
A745,SCOR Canada Reinsurance Company
D669,SCOR UK Company Limited
A090,Scotia General Insurance Company
A751,Scottish & York Insurance Co. Limited
D686,Security Insurance Company of Hartford
A760,Security National Insurance Company
D700,Sentry Insurance a Mutual Company
D703,Shipowners' Mutual Protection and Indemnity Association (The)
D305,Sirius America Insurance Company
D872,Sompo Japan Nipponkoa Insurance Inc.
A350,Sonnet Insurance Company
A770,Sovereign General Insurance Company (The)
D672,St. Paul Fire and Marine Insurance Company
D726,Starr Insurance & Reinsurance Limited
D728,State Farm Fire and Casualty Company
D735,State Farm Mutual Automobile Insurance Company
D738,Stewart Title Guaranty Company
A525,Suecia Reinsurance Company
D755,Sunderland Marine Insurance Company Limited (D755)
D756,Swiss Reinsurance Company Ltd
D765,T.H.E. Insurance Company
A635,TD Direct Insurance Inc.
A045,TD General Insurance Company
A717,TD Home and Auto Insurance Company
D769,"Technology Insurance Company, Inc."
A450,Temple Insurance Company
D779,Toa Reinsurance Company of America (The)
D770,"Tokio Marine & Nichido Fire Insurance Co., Ltd."
A820,Traders General Insurance Company
A823,Trafalgar Insurance Company of Canada
D780,Transatlantic Reinsurance Company
A555,Travelers Insurance Company of Canada
A834,Trisura Guarantee Insurance Company
D803,Triton Insurance Company
A835,Unifund Assurance Company
D862,"Virginia Surety Company, Inc."
A870,Waterloo Insurance Company
A880,Wawanesa Mutual Insurance Company (The)
A895,Western Assurance Company
A748,Western Financial Insurance Company
A920,Western Surety Company
D266,Westport Insurance Corporation
A430,Wynward Insurance Group
D871,XL Insurance Company SE
D546,XL Reinsurance America Inc.
D873,XL Specialty Insurance Company
A935,Zenith Insurance Company
D875,Zurich Insurance Company Ltd
A999,PC Canadian Totals
C999,PC Foreign Totals
