Code,Name of Company
A015,Travelers Casualty and Surety Company of Canada
A025,Allianz Insurance Company of Canada
A030,Allstate Insurance Company of Canada
A037,Anglo Canada General Insurance Company (Reinsurer)
A040,Antigonish Farmers' Mutual Fire Insurance Company
A041,Ascentus Insurance Ltd.
A043,AXA Insurance (Canada)
A045,TD General Insurance Company
A050,Boiler Inspection and Insurance Company of Canada (The)
A085,Primmum Insurance Company
A090,Scotia General Insurance Company
A095,HSBC Canadian Direct Insurance Incorporated
A115,ING Novex Insurance Company of Canada
A135,Canadian Northern Shield Insurance Company
A160,Swiss Reinsurance Company Canada (Reinsurer)
A191,Certas Direct Insurance Company
A192,Chancellor Reinsurance Company of Canada (Reinsurer)
A196,Chubb Insurance Company of Canada
A197,Citadel General Assurance Company (The)
A200,Clare Mutual Insurance Company
A210,Commonwealth Insurance Company
A245,Constitution Insurance Company of Canada
A246,Lombard General Insurance Company of Canada
A249,Lombard Insurance Company
A252,Co-operators General Insurance Company
A254,Coseco Insurance Company
A255,CUMIS General Insurance Company
A270,Dominion of Canada General Insurance Company (The)
A300,Economical Mutual Insurance Company
A310,Elite Insurance Company
A320,Equitable General Insurance Company (The)
A325,Federated Insurance Company of Canada
A350,Federation Insurance Company of Canada
A370,Legacy General Insurance Company
A378,First North American Insurance Company
A387,GE Capital Mortgage Insurance Company (Canada)
A390,CGU Insurance Company of Canada
A393,RBC General Insurance Company
A395,Gold Circle Insurance Company
A420,Gore Mutual Insurance Company
A430,Grain Insurance and Guarantee Company
A450,Temple Insurance Company
A460,Guarantee Company of North America (The)
A470,Nordic Insurance Company of Canada (The)
A480,ING Insurance Company of Canada
A485,Langdon Insurance Company
A515,ACE INA Insurance
A519,ING Western Union Insurance Company
A522,Jevco Insurance Company
A524,Echelon General Insurance Company
A525,Suecia Reinsurance Company (Reinsurer)
A530,Kings Mutual Insurance Company (The)
A532,AXA Pacific Insurance Company
A540,London and Midland General Insurance Company
A555,St. Paul Guarantee Insurance Company
A560,Markel Insurance Company of Canada
A580,Missisquoi Insurance Company (The)
