Code,Company
A515,ACE INA Insurance
A016,AIG Insurance Company of Canada
A030,Allstate Insurance Company of Canada
A040,Antigonish Farmers' Mutual Insurance Company
A042,Arch Insurance Canada Ltd.
A041,Ascentus Insurance Ltd.
A390,Aviva Insurance Company of Canada
A043,AXA Insurance (Canada)
A532,AXA Pacific Insurance Company
A050,Boiler Inspection and Insurance Company of Canada (The)
A018,Canada Guaranty Mortgage Insurance Company
A087,Canada Mortgage and Housing Corporation
A095,Canadian Direct Insurance Incorporated
A135,Canadian Northern Shield Insurance Company
A191,Certas Direct Insurance Company
A193,Certas Home and Auto Insurance Company
A192,Chancellor Reinsurance Company of Canada
A196,Chubb Insurance Company of Canada
A200,Clare Mutual Insurance Company
A252,Co-operators General Insurance Company
A254,Coseco Insurance Company
A255,CUMIS General Insurance Company
A258,DAS Legal Protection Insurance Company Limited
A270,Dominion of Canada General Insurance Company (The)
A524,Echelon General Insurance Company
A300,Economical Mutual Insurance Company
A310,Elite Insurance Company
A320,Equitable General Insurance Company (The)
A637,Everest Insurance Company of Canada
A323,FCT Insurance Company Ltd.
A325,Federated Insurance Company of Canada
A350,Federation Insurance Company of Canada
A378,First North American Insurance Company
A380,Foresters Indemnity Company
A387,Genworth Financial Mortgage Insurance Company Canada
A420,Gore Mutual Insurance Company
A805,Granite Insurance Company
T035,Green Shield Canada
A460,Guarantee Company of North America (The)
A480,Intact Insurance Company
A522,Jevco Insurance Company
A530,Kings Mutual Insurance Company (The)
A370,Legacy General Insurance Company
A580,Missisquoi Insurance Company (The)
A590,Mortgage Insurance Company of Canada (The)
A600,Munich Reinsurance Company of Canada
A470,Nordic Insurance Company of Canada (The)
A630,North Waterloo Farmers Mutual Insurance Company (The)
A560,Northbridge Commercial Insurance Corporation
A246,Northbridge General Insurance Corporation
A210,Northbridge Indemnity Insurance Corporation
A249,Northbridge Personal Insurance Corporation
A115,Novex Insurance Company
A636,Old Republic Insurance Company of Canada
A638,Omega General Insurance Company
A639,Pafco Insurance Company
A648,Pembridge Insurance Company
A650,Personal Insurance Company (The)
A660,Perth Insurance Company
A680,Pictou County Farmers' Mutual Fire Insurance Company
A685,Pilot Insurance Company
A695,PMI Mortgage Insurance Company Canada
